Name,Assembly,Description,Original Region count,Filtered Region count,Missing Chromosomes,"Width, min/median/max, bp","Percent of the genome, %",Year last updated,Source,ID/URL,AnnotationHub ID,BEDbase ID,BEDbase status
T2T.excluderanges,T2T,"Defined by the Boyle-Lab/Blacklist software, High Signal and Low Mappability regions",3565,3565,"chrY, chrMT",1001/5601/25746101,9.0172,2022,excluderanges,excluderanges,NA,6548a002754cc1e882035293541b59a8,in BEDbase but with no stats and missing plots (GenomicDistribution failed to load file for this genome)
hg38.Kundaje.GRCh38_unified_Excludable,hg38,"Defined as a combination of hg38.Lareau.hg38_peaks, hg38.Boyle.hg38-Excludable.v2, and hg38.Wimberley.peakPass60Perc_sorted, followed by manual curation. Supersedes hg38.Kundaje.GRCh38.Excludable.",910,910,chrM,20/385/5407757,2.3175,2020,ENCODE,ENCFF356LFX,AH95917,1a561729234c2844303a051b16f66656,in BEDbase with all stats and plots
hg38.Bernstein.Mint_Excludable_GRCh38,hg38,"Defined from Mint-ChIP (low input, multiplexed ChIP-seq) data",12052,12052,chrM,502/2365/46435,0.9786,2019,ENCODE,ENCFF023CZC,AH95915,80e335903b77b597b8245f9817fcd9cd,in BEDbase with all stats and plots
hg38.Boyle.hg38-Excludable.v2,hg38,"Defined by the Boyle-Lab/Blacklist software, High Signal and Low Mappability regions",636,636,chrM,1201/10151/30590101,7.3557,2018,GitHub,https://github.com/Boyle-Lab/Blacklist/raw/master/lists/hg38-blacklist.v2.bed.gz,NA,ac58962c9ec98fe9258c12092a0c8832,in BEDbase with all stats and plots
hg38.Kundaje.GRCh38.Excludable,hg38,Defined by Anshul Kundaje as a part of ENCODE and modENCODE consortia,38,38,"chr6, chr7, chr8, chr9, chr11, chr12, chr13, chr14, chr15, chr17, chr18, chr19, chr22, chrX, chrY, chrM",221/301/1761,0.0012,2016,ENCODE,ENCFF419RSJ,AH95916,cb701496bde7eeb18add96fdbc3b8b11,in BEDbase with all stats and plots
hg38.Lareau.hg38.full.Excludable,hg38,ENCODE excludable regions combined with regions of high homology to mtDNA (NUMT regions),820,820,"chrY, chrM",201/384/9421,0.0144,2017,GitHub,https://github.com/caleblareau/mitoblacklist/raw/master/combinedBlacklist/hg38.full.blacklist.bed,NA,5a12c1de138ace1a73a45e6faf9ba669,in BEDbase with all stats and plots
hg38.Reddy.wgEncodeDacMapabilityConsensusExcludable.hg38,hg38,"Defined by the ENCODE consortium, includes satellite repeats (CATTC, GAATG, GAGTG, ACRO1), RepeatMasker repeats (ALR/Alpha, BSR/Beta), centromeric repeats, chrM, High/Low mappability islands. Has extra chromosomes, use keepStandardChromosomes() filtering",401,396,NA,42/2520/618655,0.3182,2016,ENCODE,ENCFF220FIN,AH95918,148622e896f6798f7c4abf448bab67c4,in BEDbase with all stats and plots
hg38.Wimberley.peakPass60Perc_sorted,hg38,Defined by the ewimberley/peakPass software,5078,5078,chrM,1001/2001/1852001,2.3875,2021,GitHub,https://github.com/ewimberley/peakPass/raw/main/excludedlists/hg38/peakPass60Perc_sorted.bed,NA,f4a9bb19ed29e993592813e970e7dd90,in BEDbase with all stats and plots
hg38.Wold.hg38mitoExcludable,hg38,Definition method unknown,299,299,"chr10, chr15, chr19, chrM",31/40/295,6e-4,2016,ENCODE,ENCFF940NTE,AH95919,a714dcba99821801b5c426fba9c80988,in BEDbase with all stats and plots
hg38.Yeo.eCLIP_Excludableregions.hg38liftover.bed.fixed,hg38,Defined from eCLIP data,56,56,"chr18, chr21, chrY",5/30/1850,3e-4,2019,ENCODE,ENCFF269URO,AH95920,1a02a65fafefefd65ff4a060273304ed,in BEDbase with all stats and plots
